Acid,Experiment,A,mean_A,std_A,B,mean_B,std_B,percentage,k
TFA,acidic,[3.03 2.99 2.94 3.13 3.08],3.03,0.07,[0.37 0.37 0.36 0.39 0.38],0.38,0.01,0.8898450294627194,29.866764967430072
TFA,basic,[0. 0. 0. 0. 0.],0.0,0.0,[3.46 3.6  3.58 3.64 3.74],3.6,0.09,2.099740674275105e-34,0.35018382371869766
TA,acidic,[2.61 2.57 2.59 2.53 2.55],2.57,0.03,[0.19 0.19 0.19 0.19 0.19],0.19,0.0,0.9312271458914554,21.97496619744108
TA,basic,[2.34 2.42 2.49 2.46 2.42],2.43,0.05,[0.46 0.48 0.49 0.48 0.48],0.48,0.01,0.8357591883998547,2.3312703320943724
SA,acidic,[2.88 2.88 2.86 2.94 2.79],2.87,0.05,[0.56 0.56 0.56 0.58 0.55],0.56,0.01,0.8362885070452091,11.526556670608992
SA,basic,[2.08 2.11 2.13 2.07 2.15],2.11,0.03,[1.67 1.69 1.7  1.66 1.72],1.69,0.02,0.5553971559644498,0.9299313858804332
PA,acidic,[1.78 1.8  1.85 1.88 1.69],1.8,0.06,[0.48 0.48 0.49 0.5  0.45],0.48,0.02,0.789370290446873,3.0210046325537534
NFA,acidic,[3.72 3.74 3.56 3.56 3.61],3.64,0.08,[0.4  0.4  0.38 0.38 0.39],0.39,0.01,0.90261224926601,38.125362367866195
NFA,basic,[0. 0. 0. 0. 0.],0.0,0.0,[3.42 3.6  3.5  3.58 3.6 ],3.54,0.07,2.099740674275105e-34,0.35018382371869766
MA,acidic,[2.2  2.25 2.05 2.03 2.3 ],2.16,0.11,[0.09 0.09 0.08 0.08 0.09],0.09,0.0,0.960987306397613,21.50376596176276
MA,basic,[1.7  1.76 1.82 1.92 2.05],1.85,0.12,[1.09 1.13 1.17 1.24 1.32],1.19,0.08,0.6083405156555758,1.2622128047581522
HPA,acidic,[2.1  2.12 2.14 2.15 2.13],2.13,0.02,[0.97 0.97 0.98 0.99 0.98],0.98,0.01,0.684621416292409,4.550039433382909
HPA,basic,[2.45 2.56 2.48 2.61 2.71],2.56,0.09,[0.81 0.85 0.82 0.87 0.9 ],0.85,0.03,0.7505173740794372,4.556723621667835
HAc,acidic,[2.16 2.17 2.16 2.18 2.22],2.18,0.02,[1.11 1.12 1.11 1.13 1.14],1.12,0.01,0.6597325553225615,0.8077021775963026
HAc,basic,[2.9  3.05 2.96 2.95 3.14],3.0,0.09,[0.48 0.5  0.49 0.48 0.52],0.49,0.01,0.8589638328818171,1.0285816389811893
GA,acidic,[3.3  3.25 3.18 3.29 3.16],3.24,0.06,[0.25 0.24 0.24 0.24 0.24],0.24,0.0,0.9308290980828854,6.872359784786099
GA,basic,[4.18 4.14 4.11 4.04 3.92],4.08,0.09,[0.08 0.07 0.07 0.07 0.07],0.07,0.0,0.9822342945067075,6.115547395696291
Boc-P,acidic,[1.34 1.56 1.51 1.56 1.74],1.55,0.13,[1.36 1.58 1.53 1.58 1.76],1.56,0.13,0.4978739636893972,1.5500374735815665
Boc-P,basic,[1.2  1.25 1.17 1.27 1.34],1.24,0.06,[1.93 2.02 1.88 2.04 2.15],2.01,0.09,0.38261714894592724,2.4935960665603165
BA,acidic,[2.79 2.75 2.74 2.72 2.73 2.73 2.72 2.69 2.66 2.76 2.68 2.74],2.73,0.03,[0.73 0.72 0.72 0.72 0.72 0.72 0.72 0.71 0.7  0.73 0.71 0.72],0.72,0.01,0.7920275994331164,4.571306528001039
BA,basic,[2.86 2.89 2.89 2.87 2.87],2.88,0.01,[0.86 0.86 0.86 0.86 0.86],0.86,0.0,0.769682834445053,5.416393613455497
FBA,acidic,[2.6  2.57 2.57 2.56 2.5 ],2.56,0.04,[0.78 0.77 0.77 0.76 0.74],0.76,0.01,0.7701248523862112,4.06591870023061
FBA,basic,[2.63 2.71 2.66 2.71 2.73],2.69,0.04,[0.9  0.93 0.91 0.93 0.93],0.92,0.01,0.7445795373367651,1.776639194337055
CA,acidic,[5.74 5.27 4.8  4.57 3.22],4.72,0.85,[-0.14 -0.13 -0.12 -0.11 -0.08],-0.12,0.02,1.0255809869460868,33.85006605019815
CA,basic,[0.27 0.6  0.7  0.99 1.03],0.72,0.28,[0.01 0.02 0.02 0.03 0.03],0.02,0.01,0.9733326464667487,0.6879336683009379
BMH,acidic,[0.13 0.11 0.14 0.15 0.14],0.14,0.01,[1.91 1.67 2.11 2.18 2.04],1.98,0.18,0.06418483415505835,399317194.0735632
